151, 151 155.15 89.21 14 17;
152, 152 -159.58 132.31 9 19;
153, 153 454.84 -62.16 20 12;
154, 154 162.06 72.88 14 16;
155, 155 165.61 55.49 14 16;
156, 156 476.53 -59.9 20 12;
157, 157 170.14 34.43 15 15;
158, 158 467.77 -47.97 20 12;
159, 159 184.15 7.19 15 14;
160, 160 457.66 -38.57 20 12;
161, 161 171.67 -29.32 15 13;
162, 162 156.46 -0.5 14 14;
163, 163 366.1 -12.32 18 13;
164, 164 156.02 13.6 14 14;
165, 165 150.54 31.13 14 15;
166, 166 369.41 -4.94 18 14;
167, 167 145.19 50.77 14 16;
168, 168 141.1 66.94 14 16;
169, 169 139.49 84.4 14 17;
170, 170 136.78 94.89 14 17;
171, 171 133.38 105.83 14 18;
172, 172 128.54 119.8 14 18;
173, 173 108.84 64.33 13 16;
174, 174 140.94 -11.87 14 13;
175, 175 161.51 -54.77 14 12;
176, 176 381.05 -41.24 18 12;
177, 177 111.01 -12.2 13 13;
178, 178 108.85 -33.69 13 13;
179, 179 384.48 -64.61 18 11;
180, 180 79.04 -18.26 13 13;
181, 181 87.69 -45.28 13 12;
182, 182 392.11 -66.31 18 11;
183, 183 107.61 -62.08 13 12;
184, 184 397.34 -59.19 19 12;
185, 185 121.46 -107.3 14 10;
186, 186 404.39 -59.1 19 12;
187, 187 120.14 -111.94 14 10;
188, 188 413.63 -53.95 19 12;
189, 189 138.26 -130.93 14 9;
190, 190 432.36 -64.07 19 11;
191, 191 120.76 -144.48 14 9;
192, 192 408.24 -64.95 19 11;
193, 193 105.48 -119.1 13 9;
194, 194 91.98 -130.84 13 9;
195, 195 416.85 -65.55 19 11;
196, 196 57.63 -81.02 12 11;
197, 197 42.89 -92.84 12 10;
198, 198 419.15 -60.16 19 12;
199, 199 64.64 -152.86 13 8;
200, 200 427.3 -52.32 19 12;
201, 201 49.76 -180.99 12 7;
202, 202 -463.53 173.34 3 20;
203, 203 78.49 -173.99 13 7;
204, 204 94.65 -185.5 13 7;
205, 205 -487.49 144.04 3 19;
206, 206 247.56 -27.52 16 13;
207, 207 -487.87 161.03 3 20;
208, 208 257.26 20.8 16 14;
209, 209 267.32 -19.79 16 13;
210, 210 -485.9 125.47 3 18;
211, 211 542.85 -248.96 21 5;
212, 212 281.56 -48.81 16 12;
213, 213 539.63 -219.15 21 6;
214, 214 264.02 -64.58 16 11;
215, 215 305.12 -78.11 17 11;
216, 216 535.32 -204.75 21 6;
217, 217 304.44 -67.66 17 11;
218, 218 529.03 -188.32 21 7;
219, 219 306.67 -47.39 17 12;
220, 220 324.27 -47.17 17 12;
221, 221 523.59 -173.23 21 7;
222, 222 325.46 -68.17 17 11;
223, 223 305.71 -122.08 17 9;
224, 224 514.84 -128.55 21 9;
225, 225 307.07 -105.79 17 10;
226, 226 513.65 -107.33 21 10;
227, 227 307.56 23.63 17 15;
228, 228 287.67 41.99 17 15;
229, 229 566.92 -2.09 22 14;
230, 230 231.81 150.94 16 19;
231, 231 577.17 -14.16 22 13;
232, 232 262.43 136.82 16 19;
233, 233 260.75 126.97 16 18;
234, 234 586.38 -24.99 22 13;
235, 235 275.98 127.24 16 18;
236, 236 594.45 -35.91 22 12;
237, 237 285.18 134.62 17 19;
238, 238 313.62 60.38 17 16;
239, 239 511.06 64.33 21 16;
240, 240 325.28 2.21 17 14;
241, 241 328.18 -21.93 17 13;
242, 242 525.16 46.42 21 15;
243, 243 334.55 17.58 17 14;
244, 244 538.32 30.74 21 15;
245, 245 326.13 33.28 17 15;
246, 246 337.84 38.5 18 15;
247, 247 544.78 23.3 21 15;
248, 248 336.73 45.07 17 15;
249, 249 552.04 16.06 21 14;
250, 250 353.02 35.88 18 15;
251, 251 559.98 12.69 21 14;
252, 252 369.31 41.57 18 15;
253, 253 354.81 23.75 18 15;
254, 254 564.84 9.05 22 14;
255, 255 569.8 5.84 22 14;
256, 256 396.14 26.53 19 15;
257, 257 574.93 2.42 22 14;
258, 258 413.42 -150.08 19 8;
259, 259 580.05 -1.23 22 14;
260, 260 378.56 -108.24 18 10;
261, 261 369.43 -111.84 18 10;
262, 262 585.36 -4.55 22 14;
263, 263 350.89 -120.04 18 9;
264, 264 590.22 -7.75 22 13;
265, 265 347.27 -139.29 18 9;
266, 266 370.07 -157.7 18 8;
267, 267 595.35 -11.17 22 13;
268, 268 369.41 -197.65 18 7;
269, 269 600.93 -14.05 22 13;
270, 270 398.95 -236.39 19 5;
271, 271 366.67 -235.78 18 5;
272, 272 606.77 -16.72 22 13;
273, 273 333.23 -245.15 17 5;
274, 274 612.28 -18.93 22 13;
275, 275 335.18 -291.58 17 3;
276, 276 311.22 -273.93 17 4;
277, 277 618.64 -22.16 23 13;
278, 278 310.36 -263.48 17 4;
279, 279 496.56 69.93 20 16;
280, 280 308.07 -249.45 17 5;
281, 281 294.47 -312.91 17 2;
282, 282 104.87 185.73 13 20;
283, 283 291.62 -277.11 17 4;
284, 284 118.89 144.73 14 19;
285, 285 288.12 -243.19 17 5;
286, 286 279.41 -215.28 16 6;
287, 287 130.84 195.57 14 21;
288, 288 255.53 -211.94 16 6;
289, 289 133.27 189.09 14 21;
290, 290 265.57 -174.17 16 7;
291, 291 144.87 155.34 14 19;
292, 292 255.04 -135.12 16 9;
293, 293 143.4 161.37 14 20;
294, 294 249.43 -110.59 16 10;
295, 295 161.61 236.51 14 22;
296, 296 243.42 -88.39 16 11;
297, 297 228.06 -77.22 16 11;
298, 298 222.07 246.25 15 23;
299, 299 211.59 -91.79 15 10;
300, 300 225.45 238.86 15 22;
301, 301 188.7 -106.68 15 10;
302, 302 182.59 -89.58 15 11;
303, 303 233.58 226.39 16 22;
304, 304 171.81 -124.79 15 9;
305, 305 178.51 -162.1 15 8;
306, 306 196.55 -170.99 15 8;
307, 307 245.94 205.18 16 21;
308, 308 181.78 -62.59 15 11;
309, 309 248.52 192.81 16 21;
310, 310 247.82 -149.3 16 8;
311, 311 244.63 -155.35 16 8;
312, 312 245.24 182.1 16 20;
313, 313 233.77 -157.36 16 8;
314, 314 296.6 208.67 17 21;
315, 315 227.45 -151.58 16 8;
316, 316 225.33 -170.75 15 8;
317, 317 218.19 -181.16 15 7;
318, 318 221.42 -210.75 15 6;
319, 319 186.79 -241.18 15 5;
320, 320 287.53 203.73 17 21;
321, 321 164.06 -237.87 14 5;
322, 322 293.05 202.63 17 21;
323, 323 139.57 -168.92 14 8;
324, 324 125.36 -180.86 14 7;
325, 325 304.65 187.42 17 21;
326, 326 132.12 -247.15 14 5;
327, 327 301.14 178.61 17 20;
328, 328 106.12 -254.21 13 5;
329, 329 84.18 -246.36 13 5;
330, 330 308.76 181.35 17 20;
331, 331 360.63 108.78 18 18;
332, 332 54.83 -258.24 12 4;
333, 333 73.05 -299.65 13 3;
334, 334 367.23 99.55 18 17;
335, 335 83.6 -338.15 13 2;
336, 336 374.45 80.55 18 17;
337, 337 22.67 -175.82 12 7;
338, 338 349.51 88.23 18 17;
339, 339 21.87 -157.49 12 8;
340, 340 352.92 91.83 18 17;
341, 341 16.12 -140.51 12 9;
342, 342 0.33 -105.03 11 10;
343, 343 -3.84 -93.07 11 10;
344, 344 -8.15 -78.45 11 11;
345, 345 -0.49 -36.41 11 12;
346, 346 -114.41 283.76 9 24;
