151, 151 155.15 89.21 9 10;
152, 152 -159.58 132.31 5 11;
153, 153 454.84 -62.16 12 7;
154, 154 162.06 72.88 9 10;
155, 155 165.61 55.49 9 9;
156, 156 476.53 -59.9 13 7;
157, 157 170.14 34.43 9 9;
158, 158 467.77 -47.97 12 7;
159, 159 184.15 7.19 9 8;
160, 160 457.66 -38.57 12 7;
161, 161 171.67 -29.32 9 8;
162, 162 156.46 -0.5 9 8;
163, 163 366.1 -12.32 11 8;
164, 164 156.02 13.6 9 9;
165, 165 150.54 31.13 9 9;
166, 166 369.41 -4.94 11 8;
167, 167 145.19 50.77 9 9;
168, 168 141.1 66.94 9 10;
169, 169 139.49 84.4 9 10;
170, 170 136.78 94.89 9 10;
171, 171 133.38 105.83 9 11;
172, 172 128.54 119.8 9 11;
173, 173 108.84 64.33 8 10;
174, 174 140.94 -11.87 9 8;
175, 175 161.51 -54.77 9 7;
176, 176 381.05 -41.24 11 7;
177, 177 111.01 -12.2 8 8;
178, 178 108.85 -33.69 8 8;
179, 179 384.48 -64.61 12 7;
180, 180 79.04 -18.26 8 8;
181, 181 87.69 -45.28 8 7;
182, 182 392.11 -66.31 12 7;
183, 183 107.61 -62.08 8 7;
184, 184 397.34 -59.19 12 7;
185, 185 121.46 -107.3 9 6;
186, 186 404.39 -59.1 12 7;
187, 187 120.14 -111.94 8 6;
188, 188 413.63 -53.95 12 7;
189, 189 138.26 -130.93 9 5;
190, 190 432.36 -64.07 12 7;
191, 191 120.76 -144.48 8 5;
192, 192 408.24 -64.95 12 7;
193, 193 105.48 -119.1 8 6;
194, 194 91.98 -130.84 8 5;
195, 195 416.85 -65.55 12 7;
196, 196 57.63 -81.02 8 6;
197, 197 42.89 -92.84 8 6;
198, 198 419.15 -60.16 12 7;
199, 199 64.64 -152.86 8 5;
200, 200 427.3 -52.32 12 7;
201, 201 49.76 -180.99 8 4;
202, 202 -463.53 173.34 2 12;
203, 203 78.49 -173.99 8 4;
204, 204 94.65 -185.5 8 4;
205, 205 -487.49 144.04 2 11;
206, 206 247.56 -27.52 10 8;
207, 207 -487.87 161.03 2 12;
208, 208 257.26 20.8 10 9;
209, 209 267.32 -19.79 10 8;
210, 210 -485.9 125.47 2 11;
211, 211 542.85 -248.96 13 3;
212, 212 281.56 -48.81 10 7;
213, 213 539.63 -219.15 13 3;
214, 214 264.02 -64.58 10 7;
215, 215 305.12 -78.11 11 7;
216, 216 535.32 -204.75 13 4;
217, 217 304.44 -67.66 11 7;
218, 218 529.03 -188.32 13 4;
219, 219 306.67 -47.39 11 7;
220, 220 324.27 -47.17 11 7;
221, 221 523.59 -173.23 13 4;
222, 222 325.46 -68.17 11 7;
223, 223 305.71 -122.08 11 6;
224, 224 514.84 -128.55 13 5;
225, 225 307.07 -105.79 11 6;
226, 226 513.65 -107.33 13 6;
227, 227 307.56 23.63 11 9;
228, 228 287.67 41.99 10 9;
229, 229 566.92 -2.09 14 8;
230, 230 231.81 150.94 10 13;
231, 231 577.17 -14.16 14 8;
232, 232 262.43 136.82 10 13;
233, 233 260.75 126.97 10 12;
234, 234 586.38 -24.99 14 8;
235, 235 275.98 127.24 10 12;
236, 236 594.45 -35.91 14 7;
237, 237 285.18 134.62 10 13;
238, 238 313.62 60.38 11 10;
239, 239 511.06 64.33 13 10;
240, 240 325.28 2.21 11 9;
241, 241 328.18 -21.93 11 8;
242, 242 525.16 46.42 13 10;
243, 243 334.55 17.58 11 9;
244, 244 538.32 30.74 13 9;
245, 245 326.13 33.28 11 10;
246, 246 337.84 38.5 11 10;
247, 247 544.78 23.3 13 9;
248, 248 336.73 45.07 11 10;
249, 249 552.04 16.06 13 9;
250, 250 353.02 35.88 11 10;
251, 251 559.98 12.69 14 9;
252, 252 369.31 41.57 11 10;
253, 253 354.81 23.75 11 9;
254, 254 564.84 9.05 14 9;
255, 255 569.8 5.84 14 9;
256, 256 396.14 26.53 12 9;
257, 257 574.93 2.42 13 9;
258, 258 413.42 -150.08 11 4;
259, 259 580.05 -1.23 13 8;
260, 260 378.56 -108.24 11 5;
261, 261 369.43 -111.84 11 5;
262, 262 585.36 -4.55 13 8;
263, 263 350.89 -120.04 11 5;
264, 264 590.22 -7.75 13 8;
265, 265 347.27 -139.29 11 4;
266, 266 370.07 -157.7 11 4;
267, 267 595.35 -11.17 13 8;
268, 268 369.41 -197.65 11 3;
269, 269 600.93 -14.05 14 8;
270, 270 398.95 -236.39 11 1;
271, 271 366.67 -235.78 11 1;
272, 272 606.77 -16.72 14 8;
273, 273 333.23 -245.15 11 1;
274, 274 612.28 -18.93 14 8;
275, 275 335.18 -291.58 11 0;
276, 276 311.22 -273.93 10 0;
277, 277 618.64 -22.16 14 8;
278, 278 310.36 -263.48 10 1;
279, 279 496.56 69.93 12 11;
280, 280 308.07 -249.45 10 1;
281, 281 294.47 -312.91 10 0;
282, 282 104.87 185.73 8 14;
283, 283 291.62 -277.11 10 0;
284, 284 118.89 144.73 8 13;
285, 285 288.12 -243.19 10 1;
286, 286 279.41 -215.28 10 2;
287, 287 130.84 195.57 8 14;
288, 288 255.53 -211.94 10 2;
289, 289 133.27 189.09 8 14;
290, 290 265.57 -174.17 10 3;
291, 291 144.87 155.34 8 13;
292, 292 255.04 -135.12 10 4;
293, 293 143.4 161.37 8 13;
294, 294 249.43 -110.59 10 5;
295, 295 161.61 236.51 9 16;
296, 296 243.42 -88.39 10 6;
297, 297 228.06 -77.22 9 6;
298, 298 222.07 246.25 9 16;
299, 299 211.59 -91.79 9 6;
300, 300 225.45 238.86 9 16;
301, 301 188.7 -106.68 9 5;
302, 302 182.59 -89.58 9 6;
303, 303 233.58 226.39 9 15;
304, 304 171.81 -124.79 9 5;
305, 305 178.51 -162.1 9 4;
306, 306 196.55 -170.99 9 3;
307, 307 245.94 205.18 10 15;
308, 308 181.78 -62.59 9 7;
309, 309 248.52 192.81 10 14;
310, 310 247.82 -149.3 10 4;
311, 311 244.63 -155.35 10 4;
312, 312 245.24 182.1 10 14;
313, 313 233.77 -157.36 9 4;
314, 314 296.6 208.67 10 15;
315, 315 227.45 -151.58 9 4;
316, 316 225.33 -170.75 9 3;
317, 317 218.19 -181.16 9 3;
318, 318 221.42 -210.75 9 2;
319, 319 186.79 -241.18 9 1;
320, 320 287.53 203.73 10 15;
321, 321 164.06 -237.87 9 1;
322, 322 293.05 202.63 10 15;
323, 323 139.57 -168.92 8 3;
324, 324 125.36 -180.86 8 3;
325, 325 304.65 187.42 10 14;
326, 326 132.12 -247.15 8 1;
327, 327 301.14 178.61 10 14;
328, 328 106.12 -254.21 8 1;
329, 329 84.18 -246.36 8 1;
330, 330 308.76 181.35 10 14;
331, 331 360.63 108.78 11 12;
332, 332 54.83 -258.24 7 1;
333, 333 73.05 -299.65 8 0;
334, 334 367.23 99.55 11 12;
335, 335 83.6 -338.15 8 -1;
336, 336 374.45 80.55 11 11;
337, 337 22.67 -175.82 7 3;
338, 338 349.51 88.23 11 11;
339, 339 21.87 -157.49 7 4;
340, 340 352.92 91.83 11 11;
341, 341 16.12 -140.51 7 4;
342, 342 0.33 -105.03 7 5;
343, 343 -3.84 -93.07 7 6;
344, 344 -8.15 -78.45 7 6;
345, 345 -0.49 -36.41 7 7;
346, 346 -114.41 283.76 6 17;
347, 347 -20.88 -39.69 7 7;
348, 348 -27.87 -23.02 7 8;
349, 349 -33.1 -67.21 6 6;
350, 350 -376.69 284.59 3 17;
351, 351 -51.01 -50.67 6 7;
352, 352 -90.14 -40.16 6 7;
353, 353 -90.9 -62.02 6 7;
354, 354 -30.23 -97.01 7 6;
355, 355 -33.54 -118.6 6 5;
356, 356 -301.72 -252.76 4 1;
357, 357 -10.57 -132.35 7 4;
358, 358 -13.57 -147.06 7 4;
359, 359 -410.99 -125.04 2 5;
360, 360 -51.46 -149.57 6 4;
361, 361 -3.32 -186.99 7 3;
362, 362 -13.14 -222.44 7 2;
363, 363 -18.01 -205.47 7 2;
364, 364 -31.09 -194.35 7 3;
365, 365 -232.85 -188.67 4 3;
366, 366 -57.15 -190.2 6 3;
367, 367 -175.1 -220.5 5 2;
368, 368 -10.82 -262.78 7 1;
369, 369 -186.39 -221.62 5 2;
370, 370 -6.58 -290.39 7 0;
371, 371 -3.38 -311.87 7 0;
372, 372 -0.16 -332.36 7 -1;
373, 373 3.11 -355.17 7 -1;
374, 374 -21.58 -334.73 7 -1;
375, 375 -178.43 -125.98 5 5;
376, 376 -65.28 -355.89 6 -1;
377, 377 -187.11 -128.81 5 5;
378, 378 -67.13 -342.09 6 -1;
379, 379 -53.98 -339.89 6 -1;
380, 380 -68.99 -333.17 6 -1;
381, 381 -70.33 -320.27 6 0;
382, 382 -171.99 -162.4 5 4;
383, 383 -72.21 -308.14 6 0;
384, 384 -162.19 -161.03 5 4;
385, 385 -78.5 -268.39 6 0;
386, 386 -168.57 -177.45 5 3;
387, 387 -79.76 -255.38 6 1;
388, 388 -159.56 -175.4 5 3;
389, 389 -82.25 -242.68 6 1;
390, 390 -82.88 -234.34 6 1;
391, 391 -84.59 -227.2 6 2;
392, 392 -70.69 -231.9 6 1;
393, 393 -75.27 -208.51 6 2;
394, 394 -70.05 -193.06 6 3;
395, 395 -57.51 -218.72 6 2;
396, 396 -39.17 -226.17 6 2;
397, 397 -116.41 -47.22 6 7;
398, 398 -83.92 -177.48 6 3;
399, 399 -112.99 -62.16 6 7;
400, 400 -94.61 -184.16 6 3;
401, 401 -117.53 -186.4 6 3;
402, 402 -114.91 -164.02 6 4;
403, 403 -75.87 -39.32 6 7;
